city,lat,lon,state
Wilmington,34.2257255,-77.9447102,NC
Valley City,46.9233129,-98.0031547,ND
Dickinson,46.8791756,-102.7896242,ND
Williston,48.1469683,-103.6179745,ND
Scottsbluff,41.86714,-103.660709,NE
Kearney,40.699959,-99.083107,NE
North Platte,41.1238873,-100.7654232,NE
Omaha,41.254006,-95.999258,NE
Manchester,42.9956397,-71.4547891,NH
Santa Fe,35.6869752,-105.937799,NM
Las Vegas,36.114646,-115.172816,NV
Reno,39.5296329,-119.8138027,NV
Troy,42.7284117,-73.6917851,NY
Binghamton,42.0986867,-75.9179738,NY
Buffalo,42.8864468,-78.8783689,NY
Plattsburgh,44.6994873,-73.4529124,NY
Elmira,42.0897965,-76.8077338,NY
New York,40.7142691,-74.0059729,NY
Rochester,43.1547845,-77.6155567,NY
Syracuse,43.0481221,-76.1474244,NY
Utica,43.100903,-75.232664,NY
Watertown,43.9747838,-75.9107565,NY
Cincinnati,39.1361111,-84.5030556,OH
Akron,41.0814447,-81.5190053,OH
Canton,40.7989473,-81.378447,OH
Columbus,39.9611755,-82.9987942,OH
Dayton,39.7589478,-84.1916069,OH
Lima,40.742551,-84.1052256,OH
Toledo,41.6639383,-83.555212,OH
Steubenville,40.3697905,-80.6339638,OH
Youngstown,41.0997803,-80.6495194,OH
Zanesville,39.9403453,-82.0131924,OH
Oklahoma City,35.4675602,-97.5164276,OK
Ada,34.774531,-96.6783449,OK
Tulsa,36.1539816,-95.992775,OK
Wichita Falls,33.6953791,-98.3088441,OK
Lawton,34.6086854,-98.3903305,OK
Bend,44.0581728,-121.3153096,OR
Eugene,44.0520691,-123.0867536,OR
Klamath Falls,42.224867,-121.7816704,OR
Portland,45.5234515,-122.6762071,OR
Erie,42.1292241,-80.085059,PA
York,39.9625984,-76.727745,PA
Altoona,40.5186809,-78.3947359,PA
Philadelphia,39.952335,-75.163789,PA
Pittsburgh,40.4406248,-79.9958864,PA
Scranton,41.408969,-75.6624122,PA
New Bedford,41.6362152,-70.934205,MA
Charleston,32.7765656,-79.9309216,SC
Columbia,34.0007104,-81.0348144,SC
Myrtle Beach,33.6890603,-78.8866943,SC
Anderson,34.5034394,-82.6501332,SC
Rapid City,44.0805434,-103.2310149,SD
Sioux Falls,43.5499749,-96.700327,SD
Mitchell,43.7094283,-98.0297992,SD
Chattanooga,35.0456297,-85.3096801,TN
Jackson,35.6145169,-88.8139469,TN
Knoxville,35.9606384,-83.9207392,TN
Memphis,35.1495343,-90.0489801,TN
Nashville,36.1658899,-86.7844432,TN
Cities,36.472723,-82.4106862,TN-VA
Sweetwater,32.4709519,-100.4059384,TX
Amarillo,35.2219971,-101.8312969,TX
Austin,30.267153,-97.7430608,TX
Port Arthur,29.8849504,-93.939947,TX
Corpus Christi,27.8005828,-97.396381,TX
Ft. Worth,32.725409,-97.3208496,TX
El Paso,31.7587198,-106.4869314,TX
McAllen,26.2034071,-98.2300124,TX
Houston,29.7628844,-95.3830615,TX
Laredo,27.506407,-99.5075421,TX
Lubbock,33.5778631,-101.8551665,TX
Midland,31.9973456,-102.0779146,TX
San Angelo,31.4637723,-100.4370375,TX
San Antonio,29.4241219,-98.4936282,TX
Ada,34.774531,-96.6783449,OK
Longview,32.5007037,-94.7404891,TX
Lufkin,31.3382406,-94.729097,TX
Nacogdoches,31.6035129,-94.6554874,TX
Victoria,28.8052674,-97.0035982,TX
Bryan,30.6743643,-96.3699632,TX
Salt Lake City,40.7607793,-111.8910474,UT
Charlottesville,38.0293059,-78.4766781,VA
Harrisonburg,38.4495688,-78.8689155,VA
Newport News,36.9787588,-76.428003,VA
Petersburg,37.2279279,-77.4019267,VA
Lynchburg,37.4137536,-79.1422464,VA
Plattsburgh,44.6994873,-73.4529124,NY
Tacoma,47.2528768,-122.4442906,WA
Spokane,47.6587802,-117.4260466,WA
Kennewick,46.2112458,-119.1372338,WA
Superior,46.7207737,-92.1040796,WI
Appleton,44.2619309,-88.4153847,WI
Eau Claire,44.811349,-91.4984941,WI
Madison,43.0730517,-89.4012302,WI
Milwaukee,43.0389025,-87.9064736,WI
Rhinelander,45.6366228,-89.4120753,WI
Oak Hill,37.9723339,-81.1487135,WV
Huntington,38.4192496,-82.445154,WV
Weston,39.0384274,-80.467313,WV
Parkersburg,39.2667418,-81.5615135,WV
Steubenville,40.3697905,-80.6339638,OH
Riverton,43.0249592,-108.3801036,WY
],,,
